cage_ID,line,depth,cukes,nh4_conc,depth_stand
A1,A,4.4,Control,0.6055625289387282,-0.3611111111111107
A2,A,4.6,High,0.8611803783045404,-0.16111111111111143
A3,A,4.5,Mid,0.8758146679089808,-0.26111111111111107
A4,A,4.3,High,0.9184595748651868,-0.46111111111111125
A5,A,4.1,Control,0.8637801661425786,-0.6611111111111114
A6,A,3.9,Mid,0.7491379088974784,-0.8611111111111112
A7,A,3.4,Mid,0.258834695468251,-1.3611111111111112
A8,A,2.9,Control,0.2740560339393451,-1.8611111111111112
A9,A,3.5,High,0.13401133359289827,-1.261111111111111
B1,B,5.6,Mid,1.055324236821546,0.8388888888888886
B2,B,5.6,High,0.9515333327980622,0.8388888888888886
B3,B,5.8,Control,0.9983652550550159,1.0388888888888888
B4,B,5.6,Control,1.2300503812107495,0.8388888888888886
B5,B,5.7,Mid,1.3866303013203498,0.9388888888888891
B6,B,5.6,High,1.3777863081739778,0.8388888888888886
B7,B,5.5,Control,1.3688506674302343,0.7388888888888889
B8,B,5.4,Mid,1.2823811593100072,0.6388888888888893
B9,B,5.3,High,1.3310460335143957,0.5388888888888888
